#{"t_start": 1772446784.5901537, "env_id": "None"}
r,l,t
-194.952697,1479,1.825057
-197.29299,1479,3.76387
-207.079322,1479,5.662896
-189.085284,1479,6.734629
-166.852057,1479,8.602771
-151.097629,1479,10.539483
-125.947976,1479,12.456802
-105.802563,1479,13.532344
-111.968441,1479,15.42598
-57.715282,1479,17.316857
-94.156609,1479,18.388125
-87.606838,1479,20.295603
-53.514656,1479,22.163956
-37.666926,1479,24.016436
-47.119501,1479,25.099854
-29.384752,1479,27.026991
-18.954576,1479,28.957369
-26.527716,1479,30.032603
-32.109169,1479,31.911744
-5.141956,1479,33.75219
-11.681484,1479,35.594298
-3.666245,1479,36.662408
-10.773943,1479,38.588327
7.102963,1479,40.522746
-3.468345,1479,42.335728
-13.57531,1479,43.422903
-7.18021,1479,45.333728
2.127312,1479,47.262457
9.906159,1479,48.338774
-0.37467,1479,50.201318
6.85514,1479,52.124996
6.094357,1479,54.042825
14.374764,1479,55.124405
16.092578,1479,57.009493
10.847448,1479,58.893816
22.935979,1479,59.972288
17.606835,1479,61.844963
23.749299,1479,63.74953
26.768011,1479,65.689808
38.178566,1479,66.755343
20.314162,1479,68.642498
34.592227,1479,70.518084
15.573361,1479,72.384169
39.086009,1479,73.458798
28.200372,1479,75.375272
12.591866,1479,77.297202
30.474088,1479,78.361818
32.500656,1479,80.331553
62.32567,1479,82.242014
38.887567,1479,84.138421
40.831588,1479,85.204746
29.870151,1479,87.076083
42.564736,1479,88.9721
31.155794,1479,90.036638
44.773489,1479,91.901105
33.193257,1479,93.783764
49.785925,1479,95.673973
51.946381,1479,96.7411
31.753265,1479,98.691771
40.919513,1479,100.554857
67.07109,1479,102.462445
62.625426,1479,103.550573
47.349451,1479,105.379556
55.475826,1479,107.250419
45.333589,1479,108.315485
36.758372,1479,110.236505
15.914495,1479,112.179889
58.341541,1479,114.023794
65.529287,1479,115.101357
62.546317,1479,116.977739
57.791612,1479,118.841768
71.321334,1479,119.915913
60.631879,1479,121.749457
62.541906,1479,123.594184
74.180038,1479,125.491631
76.696104,1479,126.558932
80.078896,1479,128.493747
42.88956,1479,130.311164
42.444042,1479,132.098715
69.36277,1479,133.200689
50.375096,1479,135.07003
69.259204,1479,136.912878
71.755175,1479,137.984185
74.115264,1479,139.830756
72.459618,1479,141.683262
81.464332,1479,143.573009
84.514507,1479,144.658067
79.019427,1479,146.536677
77.869899,1479,148.475785
70.083038,1479,149.540916
39.366878,1479,151.451208
73.223013,1479,153.321085
54.558269,1479,155.224222
54.169406,1479,156.287397
102.963921,1479,158.132056
100.809165,1479,160.00732
101.423598,1479,161.820378
106.689246,1479,162.915663
68.78171,1479,164.855522
69.823401,1479,166.695447
104.402926,1479,167.759054
79.105268,1479,169.581267
94.757242,1479,171.524708
80.602195,1479,173.373567
48.510017,1479,174.440767
105.773748,1479,176.297563
104.477268,1479,178.184608
109.09128,1479,179.25002
94.410041,1479,181.134969
81.505465,1479,183.058433
94.476887,1479,185.032927
111.002518,1479,186.098576
79.738861,1479,187.899795
129.81908,1479,189.749463
103.968589,1479,191.644739
115.386857,1479,192.737625
107.850398,1479,194.598872
105.711597,1479,196.455342
117.690729,1479,197.527623
87.985209,1479,199.431762
84.876676,1479,201.339241
81.592449,1479,203.168074
119.732148,1479,204.244398
81.379849,1479,206.10547
130.124271,1479,207.994335
80.194352,1479,209.068485
110.912138,1479,210.900967
108.864348,1479,212.837174
101.989264,1479,214.753298
111.748905,1479,215.812611
119.438958,1479,217.64474
121.977236,1479,219.558046
108.475439,1479,221.493174
131.399895,1479,222.595936
111.38156,1479,224.473478
107.00407,1479,226.443376
140.655773,1479,227.516304
129.325645,1479,229.352607
129.735008,1479,231.218263
134.305397,1479,233.150015
111.00167,1479,234.227607
139.924308,1479,236.108971
109.148964,1479,238.03198
119.56655,1479,239.109193
141.044303,1479,240.992707
127.366025,1479,242.847475
127.130774,1479,244.737524
134.907869,1479,245.812283
106.524456,1479,247.704401
145.218808,1479,249.705292
140.09446,1479,251.608563
152.670698,1479,252.71832
147.938275,1479,254.571726
130.793405,1479,256.490807
143.664278,1479,257.566957
122.883083,1479,259.421147
109.699536,1479,261.341201
144.771921,1479,263.268116
170.88851,1479,264.347716
146.63183,1479,266.274575
140.010731,1479,268.200272
139.12506,1479,269.277299
129.082153,1479,271.144576
125.890107,1479,273.059862
145.678206,1479,274.933858
102.338347,1479,276.007181
130.387312,1479,277.939059
141.635847,1479,279.80221
165.911345,1479,281.692838
102.691803,1479,282.793211
165.909865,1479,284.68507
125.914861,1479,286.565915
143.586718,1479,287.642094
160.327334,1479,289.469172
157.076765,1479,291.321311
158.066763,1479,293.225395
136.744791,1479,294.305381
159.482318,1479,296.203103
135.989307,1479,298.163325
144.944382,1479,299.243168
166.151712,1479,301.156633
160.548481,1479,303.052672
163.82922,1479,305.052713
180.332333,1479,306.122909
187.113047,1479,308.04515
132.978219,1479,309.895109
178.072975,1479,311.709931
176.39058,1479,312.820364
168.077038,1479,314.754858
176.450397,1479,316.641469
162.509597,1479,317.711835
184.982804,1479,319.624323
146.492941,1479,321.527241
168.346482,1479,323.462528
137.371305,1479,324.535254
191.825174,1479,326.342152
178.785617,1479,328.277377
184.199081,1479,329.350653
171.124137,1479,331.265642
183.943109,1479,333.184305
197.943939,1479,335.083362
206.862124,1479,336.152436
191.859322,1479,338.08834
190.630931,1479,339.935362
159.89017,1479,341.817247
200.585267,1479,342.923992
164.057631,1479,344.823827
155.461034,1479,346.742966
204.610795,1479,347.816406
213.82989,1479,349.66261
160.047711,1479,351.609584
165.470697,1479,353.524648
209.767356,1479,354.603377
188.688282,1479,356.487188
174.252673,1479,358.421747
179.171942,1479,359.49357
181.187771,1479,361.33954
159.70096,1479,363.211099
163.499371,1479,365.107406
171.648256,1479,366.169012
191.415147,1479,368.074191
182.075451,1479,369.912229
150.80136,1479,371.766533
210.118305,1479,372.860722
179.126283,1479,374.731652
157.129075,1479,376.605067
168.516416,1479,377.670873
193.061917,1479,379.603794
181.271846,1479,381.4196
183.553509,1479,383.290504
201.67992,1479,384.35879
212.455967,1479,386.246864
172.276019,1479,388.12259
205.311746,1479,389.196441
186.55743,1479,391.081594
176.504048,1479,392.978413
200.57098,1479,394.843349
223.052034,1479,395.912273
185.373243,1479,397.819977
215.351171,1479,399.761279
157.195246,1479,401.60686
166.137032,1479,402.71584
187.668951,1479,404.548175
167.428922,1479,406.450355
206.24222,1479,407.518934
204.140763,1479,409.357418
186.732969,1479,411.267864
213.953026,1479,413.164874
216.736542,1479,414.23924
209.721533,1479,416.165003
178.02794,1479,418.039993
192.347559,1479,419.113697
173.899296,1479,421.009346
175.438899,1479,422.921849
158.089843,1479,424.790595
184.555853,1479,425.857882
154.165696,1479,427.790517
185.968873,1479,429.68183
196.802563,1479,431.548627
166.05427,1479,432.637522
226.633022,1479,434.544344
191.435186,1479,436.487837
215.120191,1479,437.55512
204.474705,1479,439.424582
223.59152,1479,441.261454
209.22676,1479,443.104311
184.2787,1479,444.180769
198.772615,1479,446.110937
186.375791,1479,447.984229
185.072392,1479,449.052877
218.706245,1479,450.971897
190.59705,1479,452.857405
189.548345,1479,454.700613
233.589482,1479,455.765498
183.969998,1479,457.691211
178.853488,1479,459.572785
212.016308,1479,461.500724
237.167403,1479,462.607149
219.367829,1479,464.487816
245.735263,1479,466.336469
217.316419,1479,467.401017
207.932132,1479,469.259824
222.008293,1479,471.167828
226.165102,1479,473.110075
227.808891,1479,474.178466
231.553553,1479,476.047853
221.539726,1479,477.901574
218.70267,1479,478.971439
196.918884,1479,480.942926
193.952764,1479,482.845642
214.964609,1479,484.717994
206.871403,1479,485.786223
247.27744,1479,487.647855
207.180359,1479,489.533363
220.398707,1479,491.405937
216.767956,1479,492.489311
239.475198,1479,494.315922
245.213449,1479,496.224768
212.132076,1479,497.282726
218.141787,1479,499.174773
180.276475,1479,501.056542
194.093766,1479,502.936553
223.878464,1479,504.006115
204.683109,1479,505.829769
226.758976,1479,507.725764
245.344981,1479,508.79873
218.578193,1479,510.709628
245.236953,1479,512.67361
207.108038,1479,514.568143
216.264991,1479,515.631488
226.547631,1479,517.513538
212.691368,1479,519.4785
218.956018,1479,521.371675
200.274393,1479,522.486239
217.679126,1479,524.340855
206.624601,1479,526.162549
224.347461,1479,527.221643
197.288611,1479,529.141696
207.921942,1479,530.996568
203.4675,1479,532.881467
221.779543,1479,533.962994
205.132648,1479,535.850957
189.59967,1479,537.704621
216.206219,1479,538.771177
235.895891,1479,540.622072
243.459366,1479,542.528067
200.401253,1479,544.404739
196.948076,1479,545.472413
217.56841,1479,547.466636
194.770394,1479,549.317359
168.433738,1479,551.234803
228.001895,1479,552.311692
221.048142,1479,554.205276
228.056454,1479,556.073384
202.403975,1479,557.143671
207.11078,1479,559.080101
236.292189,1479,561.027978
214.215361,1479,562.884127
219.47498,1479,563.9554
217.020323,1479,565.796732
235.35481,1479,567.658226
220.493283,1479,568.732046
264.758335,1479,570.683135
237.275044,1479,572.601557
244.946307,1479,574.498712
188.529245,1479,575.57417
249.532676,1479,577.456231
222.406568,1479,579.324876
231.282604,1479,581.164927
240.807888,1479,582.273673
290.678303,1479,584.159571
262.113942,1479,586.03377
260.948639,1479,587.105939
239.684935,1479,588.969071
207.866605,1479,590.854964
206.095625,1479,592.706097
186.317138,1479,593.782433
202.859492,1479,595.60218
230.574075,1479,597.483066
236.116335,1479,598.549782
254.063374,1479,600.459906
224.794457,1479,602.359437
250.276911,1479,604.203424
267.252281,1479,605.278537
264.555642,1479,607.144326
257.832647,1479,609.003543
223.72674,1479,610.903146
239.048482,1479,612.024124
218.785179,1479,613.877542
227.082411,1479,615.823656
206.708901,1479,616.900045
268.915515,1479,618.771683
191.391032,1479,620.583075
290.138524,1479,622.56179
241.243102,1479,623.624532
260.128501,1479,625.516706
282.296926,1479,627.670094
240.403295,1479,628.749133
237.244165,1479,630.780914
235.884587,1479,632.798376
248.837579,1479,634.875173
263.329357,1479,635.941187
272.263999,1479,637.747685
229.037682,1479,639.631352
250.202872,1479,641.418708
220.722231,1479,642.512585
221.429876,1479,644.321868
266.282334,1479,646.167281
222.856556,1479,647.237096
266.336075,1479,649.033337
262.599101,1479,1138.426198
254.698383,1479,1140.674024
273.549273,1479,1141.877516
270.718459,1479,1143.839569
250.239809,1479,1145.728676
224.128464,1479,1146.857162
241.136615,1479,1149.560293
228.85058,1479,1153.69729
262.714586,1479,1157.808944
266.023326,1479,1939.475985
289.41376,1479,15867.143781
232.963942,1479,15872.869127
275.002218,1479,21931.029791
297.155457,1479,21933.98195
256.99258,1479,21938.595944
266.053108,1479,21942.853184
280.175105,1479,21945.07859
279.273404,1479,21948.989956
266.428744,1479,21952.820293
273.554722,1479,21957.355996
271.349579,1479,21960.033927
306.516039,1479,21963.909025
281.102736,1479,21967.708191
241.031532,1479,21969.813891
279.184104,1479,21973.649748
214.283432,1479,21977.461562
221.386257,1479,21981.183729
251.786173,1479,21983.292121
217.629784,1479,21987.130348
261.166199,1479,21990.93196
255.567167,1479,21994.660321
274.163793,1479,21996.743325
248.607703,1479,22000.481425
266.668736,1479,22004.206227
288.544115,1479,22006.28781
273.486152,1479,22010.066226
254.97361,1479,22013.79168
283.267093,1479,22017.959661
262.715882,1479,22020.168931
231.35865,1479,22024.358372
243.264549,1479,22029.178125
234.330424,1479,22032.697697
221.967638,1479,22037.633379
225.831829,1479,22041.141352
250.498608,1479,22044.86641
178.789689,1479,22047.611441
255.07481,1479,22052.621785
